key;ru;en;
tut_121;Отлично! Обрати внимание на то сообщение об ошибке. Я вынудил сделать тебя очевидно лишнее действие, и оно сгорело. Будь внимательнее с этим в реальной игре;Great! Pay attention to that error message. I forced you to do an obviously unnecessary action, and it burned down. Be careful with this in a real game;
tut_122;Теперь попробуй повернуться вправо, прыгнуть 3 раза, а затем снова повернуться вправо;Now try to turn right, jump 3 times and then turn right again;
tut_123;Совет: ты можешь вращать камеру вокруг поля используя мышку;Tip: you can rotate the camera around the field using mouse;
tut_131;Упс. Прости. Снова заставил тебя сжечь действие. Ничего страшного, на ошибках учатся;Oops. Sorry. Made you burn the action again. It's okay, learn from mistakes
tut_132;Однако и сюда ты не сможешь запрыгнуть. Для этого необходимо опустить клетку перед тобой. Это может сделать Харди;However, you can't jump here either. To do this, you need to lower the cell in front of you. Hardy can do it
tut_133;Лиди может прыгать только на клетки, которые не превышают высоту его клетки больше чем на 1. Поэтому клетку С4 следует опустить на 1, а клетку C3 поднять на 1, чтобы пропрыгать дальше;Leady can only jump onto squares that do not exceed the height of his cell by more than 1. Therefore, C4 must be lowered by 1 and C3 must be raised by 1 to jump further;
tut_134;Совет: нажми кнопку рядом с кнопкой паузы, чтоб посмотреть высоту клеток;Tip: click the button next to the pause button to see the height of the cells;
tut_141;У тебя отлично получается! Настало время для более сложной части;You are doing great! It's time for the harder part;
tut_142;Портал совсем близко, но у Лиди кончились действия передвижения и поворота. Эту проблему можно решить с помощью способности Харди - толчок;The portal is very close, but Leedy has run out of move and rotate actions. This problem can be solved with Hardy's ability - Push;
tut_143;Будь внимателен, чтобы толчок состоялся, клетка толкаемого объекта и клетка на которую его толкают, должны быть одинаковой высоты;Be careful. For the push to take place, the cell of the pushed object and the cell on which it is pushed must be of the same height;
tut_144;Подними клетку D2 с помощью Харди на D3 (не забудь повернуться). Затем Харди на B2 толкнет Лиди. После чего Харди на D3 толкнет Лиди на финишную клетку;Raise cell D2 with Hardy on D3 (don't forget to turn around). Then Hardy on B2 pushes Lidy. Then Hardy on D3 push Lidy to the finish cell;
tut_145;Когда Лиди окажется на клетке с порталом, используй его спосбность завершения. Если были использованы не все действия, получишь 2 звезды, иначе - 1;When Leady is on the cell with ahe portal, use its finish ability. If not all actions were used, you will get 2 stars, otherwise - 1;
tut_146;Совет: ты можешь использовать горячие клавиши для выбора юнитов и действий, они отображены в левом нижнем углу соответствующей панели;Tip: you can use hotkeys to select units and actions, they are displayed in the lower left corner of the corresponding panel;
tut_211;Орудовать способностями двух юнитов, конечно, хорошо. Но что если добавить еще два?;Wielding the abilities of two units is, of course, good. But what if we add two more?;
tut_212;Первый - Трики. Он умеет бегать, совершать быстрые развороты и подкидывать объекты на поле;The first is Tricky. He knows how to run, make quick rotates and throw objects on the field;
tut_213;Попробуем же все это сделать. Сделай сейчас разворот на 180, потом пробеги 2 раза, повернись вправо и снова побеги;Let's try to do all this. Now do a 180 turn, then run 2 times, turn right and run again;
tut_221;Ох, да. Способность бега работает только если обе пробегаемые клетки не заняты и совпадают по высоте с начальной;Oh. Yes. The ability to run only works if both cells being run are unoccupied and match the height of the starting one;
tut_222;Есть небольшая хитрость в этом. Можно сделать обычный прыжок. Даже если клетки одинаковой высоты;There is a little trick to this. You can do a normal jump. Even if the cells are the same height;
tut_223;Кстати. Трики способен прыгать на клетки высота которых на 2 больше, чем его клетки;By the way. Tricky is able to jump onto cells that are 2 higher than his own;
tut_224;Так, ладно. Пора познакомить тебя со вторым юнитом - Крабби. Он ходит только боком, а также может разворачивать объекты;So, okay. It's time to introduce you to the second unit - Crabby. He only walks sideways and can turn objects around;
tut_225;Сделай за Трики прыжок вперед и подкинь Крабби. А затем уже им пройди 3 клетки влево;Jump forward as Tricky and throw the Crabby. And then they go 3 cells to the left;
tut_231;Здорово! Теперь пусть Крабби развернет Лиди, а тот в свою очередь дойдет до портала и закончит уровень!;Great! Now let Crabby turn Leady around, and he, in turn, will reach the portal and finish the level!;
tut_311;Пора бы добавить в игру чего-то еще более запутанного. Знакомься, это актуаторы. Они будут воздействовать на грибы и друг на друга между твоими действиями;It's time to add something even more intricate to the game. Meet the actuators. They will affect the mushrooms and each other between your actions;
tut_312;Цифра над актуатором означает после какого твоего действия в этом ходу, подействует он сам. Соответственно 0 означает, что он это сделает перед твоим первым действием;The number above the actuator means after what your action in this turn, it will act on its own. Accordingly, 0 means that he will do it before your first action;
tut_313;Что же за действия они совершают? Они указаны на боковых панелях актуаторов;What actions are they doing? The ones with the arrow push the object in front of them, just like Hardy does. They have 4 dots on the back;
tut_314;Что ж. Хватит теории, перейдем к практике. Сделай 3 шага вперед, затем 2 прыжка. И посмотри, где ты окажешься;Well. Enough theory, let's move on to practice. Take 3 steps forward, then 2 jumps. And see where you end up;
tut_321;Необычно. Не правда ли? А ведь ты еще можешь сам влиять на них, так же, как и они на себя;Unusual. Isn't it? But you can even influence them yourself, just as they can influence themselves;
tut_322;Пусть Харди толкнет актуатор перед собой, Лиди повернется направо, сделает 2 шага вперед и внезапно закончит уровень;Have Hardy push the actuator in front of him, Leady turn right, take 2 steps forward and suddenly end the level;
